#Organism/Name,Group,SubGroup,Type,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Saccharomyces cerevisiae T.52_3C","Fungi","Ascomycetes",mitochondrion,-,CP007827,85.596,21.1482,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T.52_3A","Fungi","Ascomycetes",mitochondrion,-,CP007844,85.594,22.4747,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T.52_2H","Fungi","Ascomycetes",mitochondrion,-,CP007861,85.594,21.4174,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae Sol7-2","Fungi","Ascomycetes",mitochondrion,-,CP007878,85.596,22.5863,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_TUKITUKI2_4","Fungi","Ascomycetes",mitochondrion,-,CP007895,84.976,20.2081,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae NSERVsf_F8","Fungi","Ascomycetes",mitochondrion,-,CP007912,85.593,22.6455,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HCNTHsf_F8","Fungi","Ascomycetes",mitochondrion,-,CP007946,85.584,21.8359,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T78","Fungi","Ascomycetes",mitochondrion,-,CP007963,85.594,25.4422,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HCNTHsf_C5","Fungi","Ascomycetes",mitochondrion,-,CP007980,85.594,22.4245,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae TNPLST-4-S-2","Fungi","Ascomycetes",mitochondrion,-,CP008048,85.779,22.5347,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_GIMBLETTROAD_9","Fungi","Ascomycetes",mitochondrion,-,CP008065,85.594,22.9596,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T8","Fungi","Ascomycetes",mitochondrion,-,CP008082,85.594,23.7131,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae MTKSKsf_E2","Fungi","Ascomycetes",mitochondrion,-,CP008133,85.779,19.9478,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae CRIRIwf_A11","Fungi","Ascomycetes",mitochondrion,-,CP007997,85.779,23.1852,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae CDRDR_sf_H","Fungi","Ascomycetes",mitochondrion,-,CP008014,85.779,22.1523,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae Soil7-1","Fungi","Ascomycetes",mitochondrion,-,CP008031,82.072,39.0572,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HPRMTsf_H7","Fungi","Ascomycetes",mitochondrion,-,CP008167,85.686,36.3035,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WI_S_OAKURA_4","Fungi","Ascomycetes",mitochondrion,-,CP008337,85.495,31.6381,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_BILANCHER_12","Fungi","Ascomycetes",mitochondrion,-,CP008303,85.595,23.0411,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_GIMBLETTROAD_22","Fungi","Ascomycetes",mitochondrion,-,CP008235,85.779,23.1758,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_OMARUNUI_7","Fungi","Ascomycetes",mitochondrion,-,CP008422,85.594,24.0951,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_TUKITUKI1_16","Fungi","Ascomycetes",mitochondrion,-,CP008405,85.779,26.2279,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WI_S_JASA_5","Fungi","Ascomycetes",mitochondrion,-,CP008354,85.569,25.2404,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T52","Fungi","Ascomycetes",mitochondrion,-,CP008507,85.594,23.7645,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_KOROKIPO_3","Fungi","Ascomycetes",mitochondrion,-,CP008473,85.779,21.1264,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_OMARUNUI_14","Fungi","Ascomycetes",mitochondrion,-,CP008456,85.594,22.1873,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_OMARUNUI_6","Fungi","Ascomycetes",mitochondrion,-,CP008439,85.595,23.6369,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WA_C_WAITAKEREROAD_7","Fungi","Ascomycetes",mitochondrion,-,CP008575,85.594,20.755,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WI_C_MB95MBMZ_4","Fungi","Ascomycetes",mitochondrion,-,CP008558,85.595,22.499,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WI_C_MBSP_15","Fungi","Ascomycetes",mitochondrion,-,CP008541,85.594,22.1079,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WI_C_MBSP_4","Fungi","Ascomycetes",mitochondrion,-,CP008524,85.779,22.0404,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T.52_5E","Fungi","Ascomycetes",mitochondrion,-,CP008660,85.778,22.4964,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WA_C_KINGSMILL_10","Fungi","Ascomycetes",mitochondrion,-,CP008626,85.595,23.096,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WA_C_MATES_10","Fungi","Ascomycetes",mitochondrion,-,CP008609,85.593,24.2917,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WSERCsf_G4","Fungi","Ascomycetes",mitochondrion,-,CP008218,85.595,20.8435,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_GIMBLETTROAD_5","Fungi","Ascomycetes",mitochondrion,-,CP008201,85.595,23.839,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HCNKIsf_G7","Fungi","Ascomycetes",mitochondrion,-,CP008184,85.779,21.799,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WSETAwf_B1","Fungi","Ascomycetes",mitochondrion,-,CP008099,85.594,23.9304,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae NSEBRsf_A9","Fungi","Ascomycetes",mitochondrion,-,CP008116,85.594,21.0354,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae MARARsf_A10","Fungi","Ascomycetes",mitochondrion,-,CP008150,85.779,21.3899,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T16","Fungi","Ascomycetes",mitochondrion,-,CP008694,85.631,21.8005,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WA_C_CODDINGTON_2","Fungi","Ascomycetes",mitochondrion,-,CP008643,85.779,18.8787,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T.52_5A","Fungi","Ascomycetes",mitochondrion,-,CP008677,85.594,22.0646,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WA_C_MATES_13","Fungi","Ascomycetes",mitochondrion,-,CP008592,85.594,22.9444,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_KOROKIPO_12","Fungi","Ascomycetes",mitochondrion,-,CP008490,85.594,20.2993,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae WI_S_JASA_13","Fungi","Ascomycetes",mitochondrion,-,CP008371,85.594,30.3748,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_C_TUKITUKI2_10","Fungi","Ascomycetes",mitochondrion,-,CP008388,85.594,22.5156,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_GIMBLETTROAD_14","Fungi","Ascomycetes",mitochondrion,-,CP008269,85.658,27.1008,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae T63","Fungi","Ascomycetes",mitochondrion,-,CP008320,85.594,22.6733,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_BILANCHER_6","Fungi","Ascomycetes",mitochondrion,-,CP008286,85.594,28.488,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae HB_S_GIMBLETTROAD_16","Fungi","Ascomycetes",mitochondrion,-,CP008252,85.583,22.2124,-,-,-,-,-,-,2016/06/20,2016/06/20
"Saccharomyces cerevisiae R008","Fungi","Ascomycetes",mitochondrion,-,CM002421,22.149,38.7196,-,-,-,-,-,-,2014/02/26,2014/02/26
"Saccharomyces cerevisiae S288c S288C","Fungi","Ascomycetes",mitochondrion,NC_001224.1,KP263414,85.779,17.1091,19,2,24,1,46,-,1999/08/29,2015/03/05
"Saccharomyces cerevisiae W303","Fungi","Ascomycetes",mitochondrion,-,CM001823,85.883,17.121,-,-,-,-,-,-,2013/02/28,2015/03/19
"Saccharomyces cerevisiae YJM1078","Fungi","Ascomycetes",mitochondrion,-,CP004115,82.025,16.2597,14,2,24,1,41,-,2015/02/25,2015/04/09
"Saccharomyces cerevisiae YJM1083","Fungi","Ascomycetes",mitochondrion,-,CP006508,89.444,16.9246,18,2,24,1,45,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1129","Fungi","Ascomycetes",mitochondrion,-,CP006509,81.706,16.2179,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1133","Fungi","Ascomycetes",mitochondrion,-,CP006510,84.963,16.2412,13,2,24,1,40,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1190","Fungi","Ascomycetes",mitochondrion,-,CP006511,88.994,16.091,14,2,24,1,41,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1199","Fungi","Ascomycetes",mitochondrion,-,CP006512,90.633,16.323,15,2,24,1,42,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1202","Fungi","Ascomycetes",mitochondrion,-,CP006513,90.638,16.3243,15,2,24,1,42,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1208","Fungi","Ascomycetes",mitochondrion,-,CP006514,84.252,16.1242,13,2,24,1,40,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1242","Fungi","Ascomycetes",mitochondrion,-,CP006515,95.658,15.4101,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1244","Fungi","Ascomycetes",mitochondrion,-,CP006516,83.285,16.135,11,2,24,1,38,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1248","Fungi","Ascomycetes",mitochondrion,-,CP006517,81.013,17.6206,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1250","Fungi","Ascomycetes",mitochondrion,-,CP006518,88.746,17.4633,11,2,24,1,38,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1252","Fungi","Ascomycetes",mitochondrion,-,CP006519,83.856,16.0477,12,2,24,1,39,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1273","Fungi","Ascomycetes",mitochondrion,-,CP006520,77.475,14.7325,12,2,24,1,39,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1304","Fungi","Ascomycetes",mitochondrion,-,CP006521,81.083,16.303,13,2,24,1,40,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1307","Fungi","Ascomycetes",mitochondrion,-,CP006522,79.733,16.5201,13,2,24,1,40,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1311","Fungi","Ascomycetes",mitochondrion,-,CP006523,87.022,16.2074,14,2,24,1,41,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1326","Fungi","Ascomycetes",mitochondrion,-,CP006524,85.887,15.7032,11,2,24,1,38,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1332","Fungi","Ascomycetes",mitochondrion,-,CP006525,81.501,16.2869,11,2,24,1,38,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1336","Fungi","Ascomycetes",mitochondrion,-,CP006526,82.967,16.11,12,2,24,1,39,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1338","Fungi","Ascomycetes",mitochondrion,-,CP006527,80.97,15.854,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1341","Fungi","Ascomycetes",mitochondrion,-,CP006528,84.119,16.6134,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1342","Fungi","Ascomycetes",mitochondrion,-,CP006529,85.762,14.6907,14,2,24,1,41,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1355","Fungi","Ascomycetes",mitochondrion,-,CP006530,79.418,16.3766,13,2,24,1,40,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1356","Fungi","Ascomycetes",mitochondrion,-,CP006531,84.849,16.0238,12,2,24,1,39,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1381","Fungi","Ascomycetes",mitochondrion,-,CP006532,83.874,16.9302,13,2,24,1,40,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1383","Fungi","Ascomycetes",mitochondrion,-,CP006533,86.82,17.3819,15,2,24,1,42,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1385","Fungi","Ascomycetes",mitochondrion,-,CP006534,92.176,17.906,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1386","Fungi","Ascomycetes",mitochondrion,-,CP006535,85.554,16.5054,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1387","Fungi","Ascomycetes",mitochondrion,-,CP006536,80.666,15.796,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1388","Fungi","Ascomycetes",mitochondrion,-,CP006537,77.572,16.4595,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1389","Fungi","Ascomycetes",mitochondrion,-,CP006538,80.794,16.8614,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1399","Fungi","Ascomycetes",mitochondrion,-,CP006539,73.45,15.0157,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1400","Fungi","Ascomycetes",mitochondrion,-,CP006540,88.306,15.7849,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1401","Fungi","Ascomycetes",mitochondrion,-,CP006541,81.306,16.203,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1402","Fungi","Ascomycetes",mitochondrion,-,CP006542,78.309,14.4134,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1415","Fungi","Ascomycetes",mitochondrion,-,CP006543,83.95,16.1406,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1417","Fungi","Ascomycetes",mitochondrion,-,CP006544,82.284,16.0578,8,2,22,1,33,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1418","Fungi","Ascomycetes",mitochondrion,-,CP006545,76.794,14.8436,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1419","Fungi","Ascomycetes",mitochondrion,-,CP006546,84.604,16.2262,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1433","Fungi","Ascomycetes",mitochondrion,-,CP006547,81.976,15.9486,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1434","Fungi","Ascomycetes",mitochondrion,-,CP006548,77.515,14.7262,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1439","Fungi","Ascomycetes",mitochondrion,-,CP006549,80.882,17.5614,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1443","Fungi","Ascomycetes",mitochondrion,-,CP006550,77.956,15.1201,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1444","Fungi","Ascomycetes",mitochondrion,-,CP006551,83.736,15.7388,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1447","Fungi","Ascomycetes",mitochondrion,-,CP006552,74.237,14.0496,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1450","Fungi","Ascomycetes",mitochondrion,-,CP006553,76.603,15.0634,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1460","Fungi","Ascomycetes",mitochondrion,-,CP006554,82.773,16.573,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1463","Fungi","Ascomycetes",mitochondrion,-,CP006555,79.676,16.5545,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1477","Fungi","Ascomycetes",mitochondrion,-,CP006556,79.244,15.5204,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1478","Fungi","Ascomycetes",mitochondrion,-,CP006557,83.765,16.2789,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1479","Fungi","Ascomycetes",mitochondrion,-,CP006558,88.309,15.7866,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1526","Fungi","Ascomycetes",mitochondrion,-,CP006559,81.825,16.242,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1527","Fungi","Ascomycetes",mitochondrion,-,CP006560,78.592,14.9735,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1549","Fungi","Ascomycetes",mitochondrion,-,CP006561,78.275,16.0996,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1573","Fungi","Ascomycetes",mitochondrion,-,CP006562,78.385,14.4058,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1574","Fungi","Ascomycetes",mitochondrion,-,CP006563,79.923,16.4308,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1592","Fungi","Ascomycetes",mitochondrion,-,CP006564,80.788,16.8627,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM1615","Fungi","Ascomycetes",mitochondrion,-,CP006565,84.325,16.153,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM189","Fungi","Ascomycetes",mitochondrion,-,CP006474,80.811,15.9434,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM193","Fungi","Ascomycetes",mitochondrion,-,CP006475,84.644,17.218,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM195","Fungi","Ascomycetes",mitochondrion,-,CP006476,78.961,17.9937,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM244","Fungi","Ascomycetes",mitochondrion,-,CP006477,80.737,15.7313,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM248","Fungi","Ascomycetes",mitochondrion,-,CP006478,86.593,16.3801,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM270","Fungi","Ascomycetes",mitochondrion,-,CP006479,82.331,15.7061,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM271","Fungi","Ascomycetes",mitochondrion,-,CP006480,84.53,17.1489,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM320","Fungi","Ascomycetes",mitochondrion,-,CP006481,86.949,16.1577,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM326","Fungi","Ascomycetes",mitochondrion,-,CP006482,91.172,16.5654,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM428","Fungi","Ascomycetes",mitochondrion,-,CP006483,85.782,16.5303,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM450","Fungi","Ascomycetes",mitochondrion,-,CP006484,86.522,16.1832,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM451","Fungi","Ascomycetes",mitochondrion,-,CP006485,84.234,16.1502,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM453","Fungi","Ascomycetes",mitochondrion,-,CP006486,82.494,16.2351,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM456","Fungi","Ascomycetes",mitochondrion,-,CP006487,79.631,15.6346,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM470","Fungi","Ascomycetes",mitochondrion,-,CP006488,83.571,16.0762,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM541","Fungi","Ascomycetes",mitochondrion,-,CP006489,87.003,16.173,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM554","Fungi","Ascomycetes",mitochondrion,-,CP006490,87.008,16.1721,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM555","Fungi","Ascomycetes",mitochondrion,-,CP006491,84.193,15.531,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM627","Fungi","Ascomycetes",mitochondrion,-,CP006492,80.791,16.9177,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM681","Fungi","Ascomycetes",mitochondrion,-,CP006493,81.045,15.8418,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM682","Fungi","Ascomycetes",mitochondrion,-,CP006494,88.887,16.5817,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM683","Fungi","Ascomycetes",mitochondrion,-,CP006495,88.953,16.5728,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM689","Fungi","Ascomycetes",mitochondrion,-,CP006496,84.098,16.0456,9,2,24,1,36,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM693","Fungi","Ascomycetes",mitochondrion,-,CP006497,89.161,17.2048,10,2,24,1,37,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM969","Fungi","Ascomycetes",mitochondrion,-,CP006498,79.066,16.1232,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM972","Fungi","Ascomycetes",mitochondrion,-,CP006499,78.907,16.1342,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM975","Fungi","Ascomycetes",mitochondrion,-,CP006500,78.95,16.133,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM978","Fungi","Ascomycetes",mitochondrion,-,CP006501,78.916,16.1361,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM981","Fungi","Ascomycetes",mitochondrion,-,CP006502,78.916,16.1361,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM984","Fungi","Ascomycetes",mitochondrion,-,CP006503,78.907,16.1342,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM987","Fungi","Ascomycetes",mitochondrion,-,CP006504,78.974,16.1344,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM990","Fungi","Ascomycetes",mitochondrion,-,CP006505,78.916,16.1361,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces cerevisiae YJM993","Fungi","Ascomycetes",mitochondrion,-,CP006506,78.907,16.1342,8,2,24,1,35,-,2014/05/01,2015/04/09
"Saccharomyces cerevisiae YJM996","Fungi","Ascomycetes",mitochondrion,-,CP006507,78.907,16.1342,8,2,24,1,35,-,2015/03/13,2015/04/09
"Saccharomyces eubayanus FM1318","Fungi","Ascomycetes",mitochondrion,NW_017264706.1,CM003593,63.999,17.5018,9,2,24,1,36,-,2016/09/22,2016/09/22
"Saccharomyces kudriavzevii","Fungi","Ascomycetes",mitochondrion,NC_031184.1,KX707787,72.095,16.0899,7,2,24,-,33,-,2016/09/23,2016/09/23
"Saccharomyces mikatae","Fungi","Ascomycetes",mitochondrion,NC_031185.1,KX707788,73.485,15.9869,7,2,24,1,33,-,2016/09/23,2016/09/23
"Saccharomyces paradoxus","Fungi","Ascomycetes",mitochondrion,NC_018044.1,JQ862335,71.355,14.0565,14,2,24,1,37,-,2012/06/13,2012/12/21
"Saccharomyces pastorianus NRRL Y-27171","Fungi","Ascomycetes",mitochondrion,NC_031515.1,KX657750,69.019,19.1759,13,2,24,1,40,-,2016/10/21,2016/10/21
"Saccharomyces uvarum CBS 395","Fungi","Ascomycetes",mitochondrion,NC_031512.1,KX657742,64.779,16.351,13,2,24,1,40,-,2016/10/21,2016/10/21
"Saccharomycetaceae sp. 'Ashbya aceri'","Fungi","Ascomycetes",mitochondrion,-,CP006258,26.996,17.5804,8,2,23,-,33,-,2014/06/05,2014/10/01
"Saccharum arundinaceum","Plants","Land Plants",chloroplast,NC_030777.1,LC160130,141.21,38.4491,87,8,41,-,136,-,2016/08/16,2016/08/16
"Saccharum hybrid cultivar","Plants","Land Plants",chloroplast,NC_029221.1,KU214867,141.181,38.4386,82,8,39,-,129,-,2016/02/12,2016/02/12
"Saccharum hybrid cultivar SP80-3280","Plants","Land Plants",chloroplast,NC_005878.2,AE009947,141.182,38.4383,97,8,39,-,144,-,2004/06/09,2011/02/14
"Saccharum officinarum","Plants","Land Plants",chloroplast,NC_006084.1,AP006714,141.182,38.4412,117,8,38,-,163,-,2004/07/29,2011/09/09
"Saccharum officinarum","Plants","Land Plants",mitochondrion,NC_031164.1,LC107874,300.784,43.9455,20,6,16,-,43,-,2016/09/23,2016/09/23
"Saccoglossus kowalevskii","Animals","Other Animals",mitochondrion,NC_007438.1,AY336131,17.037,40.0188,13,2,22,-,13,-,2005/10/05,2010/02/01
"Saccopharynx lavenbergi T2287","Animals","Fishes",mitochondrion,NC_005298.1,AB047825,18.495,41.4815,13,2,22,-,13,-,2003/12/15,2010/02/01
"Saccostrea cucullata","Animals","Other Animals",mitochondrion,NC_027724.1,KP967577,16.396,37.7165,12,3,23,-,38,-,2015/08/18,2015/09/15
"Saccostrea kegaki","Animals","Other Animals",mitochondrion,NC_030533.1,KX065089,16.26,37.9643,12,3,23,-,38,-,2016/07/12,2016/07/21
"Saccostrea mordax","Animals","Other Animals",mitochondrion,NC_013998.1,FJ841968,16.532,35.5855,12,3,22,-,12,-,2010/03/30,2010/03/31
"Sagamichthys abei","Animals","Fishes",mitochondrion,NC_011010.1,AP009495,17.143,50.5804,13,2,22,-,13,-,2008/06/23,2008/07/03
"Sagartia ornata","Animals","Other Animals",mitochondrion,NC_027615.1,KR051008,17.446,37.7107,14,2,2,-,17,-,2015/07/23,2015/07/28
"Sagitta enflata","Animals","Other Animals",mitochondrion,NC_013814.1,AP011547,12.631,36.7509,11,2,1,-,11,-,2010/02/16,2010/02/24
